code,message,response,request
2000,"user is created , verify with otp code",,
2001,email is successfully verified,,
2002,"otp is sent , verify your email",,
2003,login is successful,,
2004,otp for password reset is sent,,
2005,password is changed,,
3001,email is required,,
3002,email address is invalid,,
3003,email address is already exist,,
3004,password is required,,
3005,password is invalid,,
3006,"password must be at least :min""",,
3007,username is required,,
3008,username is invalid,,
3009,username is already exist,,
3010,otp is required,,
3011,otp is invalid,,
3012,"otp must be at least :min""",,
3013,token is required,,
3014,token is invalid,,
3015,token is not found,,
3016,otp is not found,,
3017,otp is not valid anymore,,
3018,email and password is invalid,,
3019,token is not found,,
3020,email address is not exist,,
